TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
4,exp20251226_070051,3,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-2,1024,32000,3021,8.89824,188.244
4,exp20251226_070118,0,v100,fp16,11008,4096,8192,2,32,2,32,full-block-1,1024,32000,3071,9.34129,179.315
4,exp20251226_070118,1,v100,fp16,11008,4096,8192,2,32,2,32,full-block-1,1024,32000,3071,9.33939,179.352
4,exp20251226_070118,2,v100,fp16,11008,4096,8192,2,32,2,32,full-block-1,1024,32000,3071,9.33997,179.341
4,exp20251226_070118,3,v100,fp16,11008,4096,8192,2,32,2,32,full-block-1,1024,32000,3071,9.33491,179.438
4,exp20251226_070145,0,v100,fp16,11008,4096,8192,2,32,2,32,full-block-2,1024,32000,3021,8.49775,197.115
4,exp20251226_070145,1,v100,fp16,11008,4096,8192,2,32,2,32,full-block-2,1024,32000,3021,8.49794,197.111
4,exp20251226_070145,2,v100,fp16,11008,4096,8192,2,32,2,32,full-block-2,1024,32000,3021,8.49822,197.104
4,exp20251226_070145,3,v100,fp16,11008,4096,8192,2,32,2,32,full-block-2,1024,32000,3021,8.49772,197.116
4,exp20251226_070210,0,v100,fp16,11008,4096,8192,2,32,2,32,selective,1024,32000,3057,10.1926,164.338
4,exp20251226_070210,1,v100,fp16,11008,4096,8192,2,32,2,32,selective,1024,32000,3057,10.1883,164.408
4,exp20251226_070210,2,v100,fp16,11008,4096,8192,2,32,2,32,selective,1024,32000,3057,10.1918,164.352
4,exp20251226_070210,3,v100,fp16,11008,4096,8192,2,32,2,32,selective,1024,32000,3057,10.1874,164.423
4,exp20251226_070237,0,v100,fp16,11008,4096,8192,2,32,2,32,null,1024,32000,3045,10.2721,163.066
4,exp20251226_070237,1,v100,fp16,11008,4096,8192,2,32,2,32,null,1024,32000,3045,10.2724,163.061
4,exp20251226_070237,2,v100,fp16,11008,4096,8192,2,32,2,32,null,1024,32000,3045,10.2723,163.064
4,exp20251226_070237,3,v100,fp16,11008,4096,8192,2,32,2,32,null,1024,32000,3045,10.265,163.179
4,exp20251226_070306,0,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,2048,32000,3143,10.7143,317.485
4,exp20251226_070306,1,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,2048,32000,3143,10.7147,317.471
4,exp20251226_070306,2,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,2048,32000,3143,10.7146,317.476
4,exp20251226_070306,3,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,2048,32000,3143,10.7138,317.499
4,exp20251226_070332,0,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,2048,32000,3147,10.4501,325.512
4,exp20251226_070332,1,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,2048,32000,3147,10.4504,325.5
4,exp20251226_070332,2,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,2048,32000,3147,10.4499,325.518
4,exp20251226_070332,3,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,2048,32000,3147,10.4502,325.507
4,exp20251226_070359,0,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,2048,32000,3203,12.0494,282.305
4,exp20251226_070359,1,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,2048,32000,3203,12.0495,282.302
4,exp20251226_070359,2,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,2048,32000,3203,12.0501,282.29
4,exp20251226_070359,3,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,2048,32000,3203,12.0465,282.374
4,exp20251226_070426,0,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,2048,32000,3143,10.6558,319.225
4,exp20251226_070426,1,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,2048,32000,3143,10.6558,319.226
4,exp20251226_070426,2,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,2048,32000,3143,10.6564,319.207
4,exp20251226_070426,3,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,2048,32000,3143,10.6544,319.27
4,exp20251226_070452,0,v100,fp16,11008,4096,4096,2,16,2,16,selective,2048,32000,3189,12.8419,264.883
4,exp20251226_070452,1,v100,fp16,11008,4096,4096,2,16,2,16,selective,2048,32000,3189,12.8422,264.877
4,exp20251226_070452,2,v100,fp16,11008,4096,4096,2,16,2,16,selective,2048,32000,3189,12.8423,264.877
4,exp20251226_070452,3,v100,fp16,11008,4096,4096,2,16,2,16,selective,2048,32000,3189,12.8376,264.972
4,exp20251226_070518,0,v100,fp16,11008,4096,4096,2,16,2,16,null,2048,32000,3207,13.0794,260.075
4,exp20251226_070518,1,v100,fp16,11008,4096,4096,2,16,2,16,null,2048,32000,3207,13.0795,260.072
4,exp20251226_070518,2,v100,fp16,11008,4096,4096,2,16,2,16,null,2048,32000,3207,13.0803,260.056
4,exp20251226_070518,3,v100,fp16,11008,4096,4096,2,16,2,16,null,2048,32000,3207,13.0838,259.987
2,exp20251226_070545,0,v100,fp16,11008,4096,8192,4,2,1,2,full-uniform-1,2048,32000,4397,26.6427,316.286
2,exp20251226_070545,1,v100,fp16,11008,4096,8192,4,2,1,2,full-uniform-1,2048,32000,4397,26.6355,316.372
2,exp20251226_070612,0,v100,fp16,11008,4096,8192,4,2,1,2,full-block-1,2048,32000,4397,26.8412,313.947
2,exp20251226_070612,1,v100,fp16,11008,4096,8192,4,2,1,2,full-block-1,2048,32000,4397,26.8388,313.975
2,exp20251226_070637,0,v100,fp16,11008,4096,8192,4,2,1,2,selective,2048,32000,4601,32.0163,263.201
2,exp20251226_070637,1,v100,fp16,11008,4096,8192,4,2,1,2,selective,2048,32000,4601,32.012,263.237
2,exp20251226_070703,0,v100,fp16,11008,4096,8192,4,2,1,2,null,2048,32000,4611,32.34,260.567
2,exp20251226_070703,1,v100,fp16,11008,4096,8192,4,2,1,2,null,2048,32000,4611,32.3406,260.562
2,exp20251226_070733,0,v100,fp16,11008,4096,8192,4,32,2,32,full-uniform-1,2048,32000,6587,26.1021,521.279
